Year,Semester,CouseCode, CourseName,TotalStudents,StudentsTaken,Rate
2008,1,ITP20006,null,88,0,0.0%
2008,2,ITP20006,Web Development Programming,85,10,11.8%
2008,3,ITP20006,Web Development Programming,31,0,0.0%
2008,4,ITP20006,Web Development Programming,30,0,0.0%
2009,1,ITP20006,Web Development Programming,54,0,0.0%
2009,2,ITP20006,Web Development Programming,42,0,0.0%
2009,3,ITP20006,Web Development Programming,17,0,0.0%
2009,4,ITP20006,Web Development Programming,13,0,0.0%
2010,1,ITP20006,Web Development Programming,23,0,0.0%
2010,2,ITP20006,Web Development Programming,11,0,0.0%
2010,3,ITP20006,Web Development Programming,7,0,0.0%
2010,4,ITP20006,Web Development Programming,2,0,0.0%
